person_id,first_name,last_name,date_of_birth,driver_license_number,driver_license_state,address_line_1,address_line_2,city,state,postal_code,country,lob_type,synthetic_source
38af933f-c4e5-0a39-aaab-c328ad568494,Taylor,Smith,2018-07-08,OR9562552,OR,100 Main Street,Apt 200,Eugene,OR,97381,US,Personal,enterprise-synthetic-data-hub v0.1
ccdd7cef-39be-37a7-82ae-fc6d707056ff,Logan,Rivera,2019-05-14,CA5418374,CA,101 Main Street,,San Mateo,CA,94781,US,Commercial,enterprise-synthetic-data-hub v0.1
2742c020-f58f-0795-04f3-6d456ca8e125,Jordan,Patel,1980-12-07,NV5001211,NV,102 Main Street,,Henderson,NV,88914,US,Personal,enterprise-synthetic-data-hub v0.1
0d31bad7-6bb9-9fd2-876c-441044bfccb7,Casey,Patel,1998-08-06,OR4399628,OR,103 Main Street,Apt 203,Portland,OR,97040,US,Personal,enterprise-synthetic-data-hub v0.1
88552293-e7d9-3a4e-a7cc-5892ca1144eb,Logan,Smith,2008-08-31,WA6281460,WA,104 Main Street,,Tacoma,WA,98108,US,Personal,enterprise-synthetic-data-hub v0.1
42a26eb6-4526-434c-9698-f43dd17298d9,Alex,Garcia,2019-12-26,OR5543684,OR,105 Main Street,,Portland,OR,97585,US,Personal,enterprise-synthetic-data-hub v0.1
1415278a-3d86-2741-dbb2-16d437f607f8,Logan,Garcia,1995-09-03,CA6188756,CA,106 Main Street,Apt 206,San Mateo,CA,94754,US,Personal,enterprise-synthetic-data-hub v0.1
0849fc29-537a-86bd-b658-cab80cd274e4,Jordan,Zhou,1983-02-21,WA7972662,WA,107 Main Street,,Tacoma,WA,98118,US,Commercial,enterprise-synthetic-data-hub v0.1
fc9766fa-8892-4a3e-bcb9-43c7f88d9cc9,Casey,Patel,2007-10-19,CA2156066,CA,108 Main Street,,Walnut Creek,CA,94926,US,Personal,enterprise-synthetic-data-hub v0.1
7cb86cd0-21bf-7863-a630-ab13645c3e68,Alex,Patel,2013-06-10,WA3607257,WA,109 Main Street,Apt 209,Tacoma,WA,98439,US,Commercial,enterprise-synthetic-data-hub v0.1
804d9fc4-23fe-255c-5bcd-7058a03a33d2,Jordan,Garcia,1997-12-11,OR4540871,OR,110 Main Street,,Eugene,OR,97044,US,Personal,enterprise-synthetic-data-hub v0.1
f0c1c464-86c1-be0d-5a5d-b8cd33fe33e9,Logan,Patel,1974-06-16,AZ6171385,AZ,111 Main Street,,Tempe,AZ,85260,US,Personal,enterprise-synthetic-data-hub v0.1
06df9fa9-4252-673b-f952-8f8e55e42313,Jordan,Nguyen,1981-07-10,AZ1276946,AZ,112 Main Street,Apt 212,Tempe,AZ,85175,US,Commercial,enterprise-synthetic-data-hub v0.1
c2e5942b-3d1d-9e1f-25b2-2b5802b5ea45,Taylor,Garcia,1973-08-19,WA1924249,WA,113 Main Street,,Tacoma,WA,98402,US,Commercial,enterprise-synthetic-data-hub v0.1
32d61812-6c87-80d6-c69e-aeefdc8f1659,Logan,Smith,1995-05-17,OR6570839,OR,114 Main Street,,Eugene,OR,97546,US,Personal,enterprise-synthetic-data-hub v0.1
d5bf3513-22e9-a3ee-057c-85fafab48752,Morgan,Thompson,1999-12-10,CA3552149,CA,115 Main Street,Apt 215,San Mateo,CA,94757,US,Personal,enterprise-synthetic-data-hub v0.1
a852f9cb-613c-9345-c8c5-f96be5a69e4c,Morgan,Thompson,2011-09-01,CA8300699,CA,116 Main Street,,San Mateo,CA,94780,US,Personal,enterprise-synthetic-data-hub v0.1
3dafe7ee-7251-eb97-7871-e4bcf27be406,Logan,Garcia,1976-08-20,AZ1467044,AZ,117 Main Street,,Phoenix,AZ,85163,US,Personal,enterprise-synthetic-data-hub v0.1
805f1a51-dbf9-1ca3-abc7-0c8063733481,Jordan,Nguyen,1977-11-04,NV1414184,NV,118 Main Street,Apt 218,Henderson,NV,88910,US,Personal,enterprise-synthetic-data-hub v0.1
1404d105-b763-0362-2fcc-9217badd8628,Logan,Zhou,2001-02-28,CA5067580,CA,119 Main Street,,Walnut Creek,CA,94889,US,Personal,enterprise-synthetic-data-hub v0.1
35f6c4e4-2a95-d57f-b116-576a8fc9152e,Alex,Smith,2021-10-03,AZ2492073,AZ,120 Main Street,,Tempe,AZ,85050,US,Personal,enterprise-synthetic-data-hub v0.1
e76d30c3-51cb-464a-7e8d-1b97a89dcf03,Avery,Rivera,2018-01-15,NV4954357,NV,121 Main Street,Apt 221,Henderson,NV,88935,US,Personal,enterprise-synthetic-data-hub v0.1
