person_id,first_name,last_name,date_of_birth,driver_license_number,driver_license_state,address_line_1,address_line_2,city,state,postal_code,country,lob_type,synthetic_source
bd9c66b3-ad3c-2d6d-1a3d-1fa7bc8960a9,Morgan,Rivera,1972-03-30,CA8078673,CA,100 Main Street,Apt 200,San Mateo,CA,94721,US,Personal,enterprise-synthetic-data-hub v0.1
ec1b8ca1-f91e-1d4c-1ff4-9b7889463e85,Casey,Rivera,2024-02-29,NV5918715,NV,101 Main Street,,Henderson,NV,88923,US,Commercial,enterprise-synthetic-data-hub v0.1
d261a7ab-3aa2-e4f9-0e51-f30dc6a7ee39,Alex,Thompson,1994-03-21,OR6292423,OR,102 Main Street,,Portland,OR,97333,US,Commercial,enterprise-synthetic-data-hub v0.1
988c24c9-61b1-cd22-6280-1c4510435a10,Casey,Smith,1983-09-18,CA5218028,CA,103 Main Street,Apt 203,Walnut Creek,CA,94944,US,Personal,enterprise-synthetic-data-hub v0.1
e0f3eab0-5cec-4eb5-edd9-68311ca35cfb,Logan,Thompson,2017-07-31,WA6159230,WA,104 Main Street,,Seattle,WA,98332,US,Personal,enterprise-synthetic-data-hub v0.1
122c9a56-01d7-4256-3860-2ab696a402f2,Avery,Zhou,2000-05-01,CA1987737,CA,105 Main Street,,Walnut Creek,CA,94897,US,Personal,enterprise-synthetic-data-hub v0.1
23e2fcb4-72d8-567d-894a-05e430b187ef,Casey,Nguyen,2006-02-14,CA5673212,CA,106 Main Street,Apt 206,San Mateo,CA,94651,US,Personal,enterprise-synthetic-data-hub v0.1
944528c0-0ef8-c2d6-f7fd-564637bb3eec,Avery,Smith,2019-11-11,OR2022698,OR,107 Main Street,,Eugene,OR,97159,US,Personal,enterprise-synthetic-data-hub v0.1
12922f83-ef8c-485b-c07a-30f2edd4253b,Alex,Garcia,2005-07-05,NV2677407,NV,108 Main Street,,Las Vegas,NV,89054,US,Personal,enterprise-synthetic-data-hub v0.1
0d01280f-d89a-40c0-e87d-1c78e7c421c7,Alex,Zhou,1988-04-07,NV8106422,NV,109 Main Street,Apt 209,Henderson,NV,89159,US,Personal,enterprise-synthetic-data-hub v0.1
bfddc3d9-9ee3-ac2a-f94d-62046808593f,Jordan,Nguyen,1979-03-23,AZ3726327,AZ,110 Main Street,,Tempe,AZ,85287,US,Commercial,enterprise-synthetic-data-hub v0.1
